Variable,Tipo_Pandas,Valores_Únicos,Valores_Nulos,Porcentaje_Nulos,Clasificación
DEPREG,float64,22,151410,17.06%,Numérica
MUPREG,object,340,151410,17.06%,Categórica
MESREG,float64,12,151410,17.06%,Numérica
AÑOREG,float64,12,151410,17.06%,Numérica
CLAUNI,float64,4,151410,17.06%,Numérica
EDADHOM,float64,87,151410,17.06%,Numérica
EDADMUJ,float64,90,151410,17.06%,Numérica
GETHOM,float64,3,741135,83.51%,Numérica
GETMUJ,float64,3,741135,83.51%,Numérica
NACHOM,float64,129,151410,17.06%,Numérica
NACMUJ,float64,111,151410,17.06%,Numérica
OCUHOM,object,458,741135,83.51%,Categórica
OCUMUJ,object,307,741135,83.51%,Categórica
NUPHON,float64,6,825388,93.00%,Numérica
NUPMUJ,float64,6,825388,93.00%,Numérica
DEPOCU,float64,22,151410,17.06%,Numérica
MUPOCU,object,351,151410,17.06%,Categórica
MESOCU,float64,12,151410,17.06%,Numérica
AÑOOCU,float64,7,395909,44.61%,Numérica
AREAG,float64,3,741135,83.51%,Numérica
año,int64,12,0,0.00%,Numérica
Depreg,float64,22,736082,82.94%,Numérica
mupreg,object,334,736082,82.94%,Categórica
Mesreg,float64,12,736082,82.94%,Numérica
Añoreg,float64,3,736082,82.94%,Numérica
Clauni,float64,4,736082,82.94%,Numérica
Edadhom,float64,86,736082,82.94%,Numérica
Edadmuj,float64,83,736082,82.94%,Numérica
Gethom,float64,3,736082,82.94%,Numérica
Getmuj,float64,3,736082,82.94%,Numérica
Nachom,float64,63,736082,82.94%,Numérica
Nacmuj,float64,56,736082,82.94%,Numérica
Eschom,float64,6,736082,82.94%,Numérica
Escmuj,float64,6,736082,82.94%,Numérica
Ocuhom,object,256,736082,82.94%,Categórica
Ocumuj,object,184,736082,82.94%,Categórica
Depocu,float64,22,736082,82.94%,Numérica
mupocu,object,334,736082,82.94%,Categórica
Diaocu,float64,31,736082,82.94%,Numérica
Mesocu,float64,12,736082,82.94%,Numérica
Añoocu,float64,2,736082,82.94%,Numérica
Areag,float64,3,736082,82.94%,Numérica
ESCHOM,float64,7,213514,24.06%,Numérica
ESCMUJ,float64,7,213514,24.06%,Numérica
DIAOCU,float64,31,213514,24.06%,Numérica
PUEHOM,float64,6,297767,33.55%,Numérica
PUEMUJ,float64,6,297767,33.55%,Numérica
CIUOHOM,object,87,297767,33.55%,Categórica
CIUOMUJ,object,83,297767,33.55%,Categórica
AREAGOCU,float64,5,506862,57.11%,Numérica
NUNUHO,float64,5,458013,51.61%,Numérica
NUNUMU,float64,5,458013,51.61%,Numérica
